menu_start_game_0|바이킹 컨퀘스트에 오신 것을 환영합니다.
mno_continue_i|계속...
mno_continue_cheat|튜토리얼 건너뛰기.
mno_go_back_dot|돌아가기.
menu_start_game_3|시나리오를 선택하세요.
mno_go_back|돌아가기.
menu_tutorial|현지인들이 무기를 연습하고 있는 벌판에 다가갑니다. 이곳에서 훈련하여 당신의 전투 기술을 향상시킬 수 있습니다.
mno_continue|계속.
menu_reports|캐릭터 명성: {reg5}^명예 등급: {reg6}^부대 사기: {reg8}^부대 규모 제한: {reg7}^
mno_resume_travelling|여행 계속하기.
menu_start_phase_2x|뒤로
mno_town_4|계속하기.
menu_custom_battle_end|전투가 종료되었습니다. {s1} 아군은 이번 전투에서 {reg5}명의 적을 사살하고 {reg6}명의 병사를 잃었습니다. 당신은 개인적으로 {reg7}명을 격퇴했습니다.
menu_start_game_2|바이킹 컨퀘스트에 오신 것을 환영합니다.
menu_start_game_1|바이킹 컨퀘스트에 오신 것을 환영합니다.
menu_start_game_11|종료하시겠습니까?
menu_start_game_4|게임이 시작되면 선택 사항을 바꾸실 수 없습니다. 이대로 진행하시겠습니까?
mno_back|돌아갑니다.
menu_camp|야영지를 세웠습니다. 무엇을 하고 싶습니까?
mno_camp_action|행동을 취합니다.
mno_camp_wait_here|여기서 잠시 기다립니다.
menu_camp_action_rest|야영을 하면 부하들이 잠시 휴식을 취하며 고된 여행의 피로를 회복할 수 있습니다. 또한 식량을 구하게 하여 식량 공급을 늘릴 수 있습니다. 이는 보급품을 구매하기 어려운 적지에서 작전할 때 특히 도움이 됩니다.
menu_build_refuge_new|부하들이 은신처 건설을 시작하라는 명령이 내려지기만을 기다리고 있습니다. 은신처를 세우기에 충분한 자재를 모았고, 부족한 자원이 있다면 주변 마을에서 구매할 수 있습니다.^^총 비용: 1000 페닝.^소요 시간: 6 시간.
mno_refuge_here|명령을 내립니다.
menu_camp_cheat|치트 선택:
mno_camp_cheat_find_item|항목 찾기...
mno_testing_cheats|치트 빠르게 사용하기.
mno_back_to_camp_menu|야영지 메뉴로 돌아갑니다.
menu_cheat_testing_cheats1|치트 선택:
menu_storyline_cheat|치트 선택:
menu_camp_action|행동 선택:
mno_toggle_cheat_on| 치트 메뉴 활성화.
mno_toggle_cheat_off| 치트 메뉴 비활성화.
menu_camp_recruit_prisoners|포로들에게 당신의 병사로 합류하는 것에 동의한다면 자유를 주겠다고 제안합니다. {s18}
mno_camp_recruit_prisoners_accept|그들을 받아들입니다.
mno_camp_recruit_prisoners_half|그들의 절반만 받아들입니다.
mno_camp_recruit_prisoners_reject|그들을 거부합니다.
menu_camp_no_prisoners|영입할 포로가 없습니다.
menu_camp_action_read_book|읽을 책 선택:
menu_retirement_verify|모험을 시작한 지 {reg0}일째입니다. 당신의 현재 행운은 {reg1}입니다. 은퇴하시겠습니까?
mno_yes_dot|예.
mno_no_dot|아니오.
menu_end_game|결정이 내려졌고, 당신은 모험가로서의 삶을 포기하고 정착하기로 결심했습니다. 당신은 무기와 갑옷을 팔고 모든 돈을 챙겨 석양 속으로 사라집니다....
mno_end_game_bye|안녕히 가십시오.
menu_cattle_herd|소 떼와 마주쳤습니다.
mno_cattle_drive_away|소를 앞으로 몹니다.
mno_cattle_stop|소 떼를 멈춥니다.
mno_cattle_kill|동물 중 일부를 도살합니다.
mno_leave|떠납니다.
menu_cattle_herd_kill|몇 마리를 도살하시겠습니까?
mno_cattle_kill_1|한 마리.
mno_cattle_kill_2|두 마리.
mno_cattle_kill_3|세 마리.
mno_cattle_kill_4|네 마리.
mno_cattle_kill_5|다섯 마리.
mno_cattle_kill_20|스무 마리.
menu_arena_duel_fight|결투는 매우 위험한 일입니다. 특히 목숨이 걸린 일이니 말이죠. 결투장에 들어간 두 사람 중 오직 한 사람만이 나올 것입니다...^^당신의 마음과 몸은 스트레스와 위험에 반응했고, 당신은 당신의 겨드랑이에서 식은 땀과 뜨거운 땀이 같이 흘러내리는 것을 느꼈습니다. 이 땀의 존재는 당신이 싸울 준비가 되어 있음을 나타내는 것이었습니다.
menu_simple_encounter|{s2} 당신은 {reg11}명의 적군에 맞서 싸울 준비가 된 {reg10}명의 병력을 보유하고 있습니다.^^{s7}
mno_playerambush_attack|매복 공격!
mno_ambush_attack|매복 방어!
mno_encounter_attack|{s7} 당신의 적들을 공격합니다.
mno_encounter_deploy|대형을 구성한 채로 전투를 시작합니다.
mno_encounter_order_attack|당신 없이 공격하라고 아군에게 명령합니다.
mno_tactical_nuevo|지휘관 옵션.
mno_encounter_retreat|후퇴하며, 추격을 차단하기 위해 일부 병사를 남겨둡니다.
mno_encounter_surrender|항복합니다.
menu_encounter_retreat_confirm|가장 높은 전술 숙련도({reg2})를 가진 부대원으로서, {reg3?당신은:{s3}은(는)}} 당신과 부하들이 다치지 않고 탈출할 수 있는 계획을 고안해냈지만, 적의 추격을 막기 위해 {reg4}명의 병사를 뒤에 남겨야만 합니다.
mno_leave_behind|그렇게 한다. 이들의 희생이 나머지를 구할 것입니다.
mno_dont_leave_behind|아니오. 전우를 버려둔 채 떠날 수 없습니다.
menu_encounter_retreat|당신은 {reg4}명의 병사들에게 당신과 다른 이들이 도망갈 수 있도록 적을 붙잡아두라고 지시합니다.
menu_order_attack_begin|당신의 병사들이 적을 공격할 준비를 완료했습니다.
mno_order_attack_begin|공격을 시작하라고 명령합니다.
mno_call_back|그들을 다시 불러들입니다.
menu_order_attack_2|{s4}^^아군 사상자: {s8}^^적군 사상자: {s9}
mno_order_attack_continue|병사들에게 공격을 계속하라고 명령합니다.
mno_order_retreat|병사들을 다시 불러들입니다.
menu_battle_debrief|{s11}^^아군 사상자: {s8}{s10}^^적군 사상자: {s9}^^{s3}
menu_total_victory|당신은 이것을 읽고 있어서는 안 됩니다... {s9}
menu_pre_join|{s2}와(과) {s1} 사이의 전투 현장을 발견했습니다. 당신의 결정은...
mno_pre_join_help_attackers|{s2}의 군대에 가세합니다.
mno_pre_join_help_defenders|{s1}의 군대에 가세합니다.
mno_pre_join_leave|관여하지 않습니다.
menu_join_battle|당신은 {s1}에 맞서 {s2}을(를) 돕고 있습니다. 당신은 {reg11}명의 적군에 맞서 싸울 수 있는 {reg10}명의 병력을 보유하고 있습니다.
mno_join_attack|{s7} 당신의 적들을 공격합니다.
mno_join_order_attack|당신이 뒤에 있는 동안 동맹군과 함께 공격하라고 명령합니다.
menu_join_order_attack|{s4}^^아군 사상자: {s8}^^동맹군 사상자: {s9}^^적군 사상자: {s10}
menu_zendar|젠다르 마을에 들어왔습니다.
mno_zendar_enter|
mno_zendar_enter_door|마을 거리로 가는 입구.
mno_zendar_tavern|
mno_zendar_tavern_door|선술집 입구.
mno_zendar_merchant|
mno_zendar_merchant_door|상점 입구.
mno_zendar_arena|
mno_zendar_arena_door|투기장 입구.
mno_town_1_leave|
menu_salt_mine|소금 광산에 들어갑니다.
mno_enter|들어갑니다.
menu_four_ways_inn|네 갈래 길 여관에 도착했습니다.
menu_test_scene|테스트 장면에 들어왔습니다.
menu_quarry1|채석장에 도착했습니다. 여러 자유민이 일하는 가운데 수레와 곡괭이 소리가 주변을 가득 메우고 있습니다.
menu_salt_mine_vc|소금 광산에 도착했습니다. 여러 자유민이 일하는 가운데 수레와 삽 소리가 주변을 가득 메우고 있습니다.
menu_lumber_camp|목재 야영지에 도착했습니다. 몇몇 자유민이 일하는 가운데 도끼와 톱 소리가 주변을 가득 메우고 있습니다.
menu_farmstead_special|농가에 도착했습니다. 농가는 농산물과 식료품의 원천이므로 그런 물건들이 이곳에서 더 저렴합니다.^^{s10}
mno_take_cattlefs|소 일부를 도살한다.
menu_hadrian_wall1|당신은 하드리아누스 황제의 장벽이 있었던 유적에 도착했습니다.
menu_celidon_forest|당신 앞에는 과거의 신비로운 에너지를 뿜어내는 듯한 기이한 장소가 놓여 있습니다.
menu_hidden_valley|로마 유적처럼 보이는 기이한 장소에 도착했습니다. 당신이 탐험을 시작하자 부하들은 당신 뒤편에 야영지를 세웁니다...
mno_enter_hv|주변을 살펴본다.
menu_join_siege_outside|{s1}이(가) {s2}에 의해 포위되었습니다.
mno_approach_besiegers|공성 야영지에 접근합니다.
mno_pass_through_siege|공성 진영을 지나 {s1}(으)로 갑니다.
menu_cut_siege_without_fight|포위자들은 당신이 아무런 제지 없이 성문에 다가가는 것을 허용했습니다.
menu_besiegers_camp_with_allies|{s1}은(는) 계속 포위된 상태입니다. 당신과 부하들을 환영하는 포위자들의 야영지 위로 {s2}의 깃발이 펄럭입니다.
mno_talk_to_siege_commander|지휘관과의 면담을 요청합니다.
mno_join_siege_with_allies|다음 총공격에 합류합니다.
mno_join_siege_stay_back|당신 없이 다음 총공격에 참여하라고 부대원들에게 명령합니다.
menu_castle_outside|당신은 {s2} 외곽에 있습니다. {s11} {s3} {s4}
mno_approach_gates|성문에 다가가 보초를 부릅니다.
mno_town_sneak|변장을 하고 {s7} 안으로 잠입을 시도합니다.
mno_castle_start_siege|{reg6?도시를:요새를} 포위합니다.
menu_castle_guard|성문에 접근합니다. 성벽 위의 병사들이 당신을 면밀히 지켜봅니다.^^{s10}
mno_request_shelter|성안으로 들어갈 수 있게 해달라고 요청합니다.
mno_request_meeting_commander|누군가와의 면담을 요청합니다.
menu_castle_entry_granted|잠시 기다린 후, 보초들이 당신을 위해 성문을 열고 당신의 일행이 안으로 들어오는 것을 허용합니다.
menu_castle_entry_denied|이 성의 영주는 당신이 이 성벽 안으로 들어오는 것을 금지했으며, 보초장은 당신이 더 가까이 오려 한다면 그의 부하들이 사격할 것이라고 알립니다.
menu_castle_meeting|누구를 만나고 싶습니까?
mno_forget_it|잊어버리십시오.
menu_castle_meeting_selected|면담 요청이 안으로 전달되었고, 마침내 {s6}이(가) 당신과 대화하기 위해 안뜰에 나타납니다.
