str_yes|네.
str_no|아니오.
str_blank_string| 
str_noone|아무도 없음
str_s50_and_s51|{s50}와(과) {s51}
str_s52_and_s51|{s52}와(과) {s51}
str_s5_s_party|{s5}의 부대
str_given_by_s1_at_s2|{s1}이(가) {s2}에게 넘겼습니다.
str_given_by_s1_in_wilderness|필드에 있는 동안 {s1}에게 주어졌습니다
str_s7_raiders|{s7}의 강도들
str_bandits_eliminated_by_another|문제를 일으킨 강도들은 다른 부대에 의해 전멸당했습니다.
str_msg_battle_won|전투에서 승리했습니다! TAB키를 누르면 나갈 수 있습니다.
str_tutorial_map1|당신은 지금 전체 지도를 보고 있습니다. 지면, 마을 및 다른 부대를 왼쪽 마우스 버튼으로 클릭하면 이동할 수 있습니다.^당신의 부대가 멈추면 시간도 멈추게 됩니다. 아무 곳에서 나 머무르기 위해선 스페이스 바를 누르면 됩니다.^멈춰 선 상태에서 세이브를 하시려면 Esc를 눌러 저장을 누르시거나 F12를 눌러 빠른 저장을 할 수 있습니다.^^바이킹 컨퀘스트에 오신 걸 환영합니다!
str_tutorial_map11|충분한 군사를 모았습니다. 야를에게로 돌아가세요.
str_randomize|무작위로 고르기
str_charge|문장
str_color|색상
str_flip_horizontal|상하 뒤집기
str_flip_vertical|좌우 뒤집기
str_hold_fire|사격 중지
str_blunt_hold_fire|둔기 / 사격 중지
str_tutorial_ammo_refilled|무기가 재장전되었습니다.
str_tutorial_failed|실패했지만 괜찮습니다. 안내를 잘 따르면 다음에는 더 잘할 수 있을 겁니다. Tab 키를 눌러 메뉴로 돌아가서 튜토리얼을 다시 시도할 수 있습니다.
str_tutorialmq_1_msg_1|이번 듀토리얼에서는 기본적인 움직임, 상호작용, 전투에 대해 알아보겠습니다. ^^바이킹 컨퀘스트에서는, 마우스를 이용하여 시점을 조정하고, 키보드의 W, A, S, D를 이용하여 움직일 수 있습니다. 그럼 첫번째 목표는... ^^목표: 보트의 가운데로 가세요.
str_tutorialmq_1_msg_2|잘했습니다. 다음으로는 물체와 사람과의 상호 작용하는 방법에 대해 알아보겠습니다. 당신의 근처에 보도라고 불리는 사람이 있습니다. 그를 찾아 그의 이름창이 뜰 때까지 다가가세요. 그다음 보도와 이야기하기 위해서는 F 키를 누르면 됩니다. ^^F 키를 누르면 보도와 상호 작용을 하면서 화면이 바뀔 것입니다. 문을 열거나 상자를 열거나 기타 다른 상호 작용도 같은 원리로 동작합니다. ^^목표: 보도와 이야기하세요.
str_tutorialmq_1_msg_3|훌륭합니다. 다음으로는 무기로 공격하는 방법을 알아보겠습니다. ^^마우스 휠을 위로 굴리거나 키보드의 숫자 버튼을 눌려 무기를 선택할 수 있습니다. ^^무기를 든 채로 마우스 왼쪽 버튼을 클릭하면 해당 무기로 공격을 할 수 있습니다. 왼쪽 버튼을 누른 채 기다리면 공격 자세를 취하고 있다가, 버튼을 놓으면 공격할 것입니다. 왼쪽 버튼을 누르고 있다가 공격을 하게 되면, 좀 더 강력한 공격을 할 수 있습니다. ^^마우스 스크롤을 내리거나 숫자 버튼을 이용하면 방패를 들거나 넣을 수 있습니다. ^^목표: 전투 연습을 위해 오딘 릭 선원장과 이야기하세요.
str_tutorialmq_1_msg_4|잘했습니다! 당신은 이제 바이킹 컨퀘스트를 즐기기 위한 기초적인 조작을 전부 습득했습니다. 이제 당신은, NPC들과 이야기, 해상에서 전투도 할 수 있게 되었습니다. 모험을 떠날 준비가 되었다면 선장과 이야기하세요.
str_finished|(완료)
str_delivered_damage|{reg60}만큼의 타격을 입혔다.
str_archery_target_hit|거리: {reg61} 야드. 점수: {reg60}
str_use_baggage_for_inventory|전투 중 가방을 사용하기 위해서는 상자를 이용해야 합니다. (상자는 전투 시작 지점에 있습니다)
str_cant_use_inventory_now|지금은 가방을 사용할 수 없습니다.
str_cant_use_inventory_arena|투기장에서는 가방을 사용할 수 없습니다.
str_cant_use_inventory_disguised|변장한 상태에서는 가방을 사용할 수 없습니다.
