ip_armies_size|부대 규모
ip_armies_size_text|당신의 부대 규모는 다른 영주들의 군대와 마찬가지로 몇 가지 요인에 의해 결정됩니다.^^지휘력: 지휘력 1점당 최대 부대 규모가 5명씩 늘어납니다. 지휘력 기술이 있는 동료 또한 부대를 이끄는 데 도움을 줍니다.^^매력: 매력 1점당 최대 부대 규모가 1명씩 늘어납니다. 이는 사람들을 당신의 대의에 끌어들이는 능력입니다.^^명성: 명성 9점마다 부대 규모가 1명씩 늘어납니다. 명성이 높을수록 더 많은 추종자가 따르게 됩니다.^^영지: 소유한 도시마다 80명, 요새마다 40명의 병력이 추가됩니다. 이곳은 당신이 징집할 수 있는 인원을 나타냅니다.^^주의할 점은 해상에서의 부대 규모는 선박 수용량에 따라 제한된다는 것입니다. 초과 병력은 정착지 주둔군, 플레이어 은신처(건설 후), 또는 야영지 숙소에 맡겨둘 수 있습니다.
ip_morale|부대 사기
ip_morale_text|사기는 부대가 행군과 전투의 압박을 견디기 위해 필요한 인내심, 용기, 규율을 나타내는 척도입니다. 이는 병사들의 행복도와는 다릅니다. 정예 병사들은 고된 원정에 투덜거릴지라도, 화살이 날아오기 시작하면 하나로 뭉쳐 맞설 것입니다. 반면 병사들의 요구를 다 들어주는 지휘관은 그들을 나약하게 만들어 적의 돌격 앞에서 무너지게 할 수 있습니다.^^사기의 가장 큰 영향은 전투 중 행동에서 나타납니다. 사기에 따라 병사들이 얼마나 공격적으로 싸우는지, 혹은 전세가 기울었을 때 전선을 이탈해 도망칠지가 결정됩니다. 또한 사기는 부대의 행군 속도에도 영향을 미칩니다. 의욕이 낮은 부대는 병사들이 신체적 한계까지 힘을 내지 않고, 낙오자를 기다리기 위해 자주 멈추기 때문에 속도가 느려집니다. 결국 사기가 매우 낮은 부대는 탈영병이 발생하기 시작할 것입니다.^^사기에 영향을 주는 몇몇 요인은 직관적입니다. 예를 들어, 전투에서 승리해 명성이 높은 매력적인 지휘관은 병사들에게 자신감을 심어줍니다. 식량을 충분하고 다양하게 보급하며 급료를 제때 지불하는 지도자는 병사들의 복지를 신경 쓰고 있음을 증명하는 것입니다.^^반면 부대의 결속력과 관련된 요인들은 덜 직관적입니다. 예를 들어, 작고 끈끈한 부대에서 병사들은 전우들 앞에서 겁쟁이처럼 보이지 않으려고 압도적인 열세 속에서도 치열하게 싸울 것입니다. 반면 대규모 부대는 지휘관이 병사들을 감독하고 불만을 해결할 시간이 부족하기 때문에 결속력이 약해질 수 있습니다. 빈번한 전투는 유대를 강화하지만, 오랜 기간 전투가 없으면 병사들은 지루해하고 다투게 될 것입니다.^^'인물' 화면의 '부대 정보' 버튼을 클릭하면 사기에 영향을 주는 요인들을 확인할 수 있습니다.
ip_economy|경제
ip_economy_text|노스란드의 마을과 도시들이 번영하려면 다양한 상품이 필요합니다. 가장 중요한 것은 식량입니다. 곡물은 주식이지만, 사람들은 고기, 생선, 치즈와 같은 단백질과 지방도 필요로 합니다. 육류 보존에는 생산만큼이나 많은 노력이 들기에 소금 역시 수요가 많습니다. 식량 다음은 의복입니다. 두꺼운 양모, 가벼운 리넨, 혹은 사치스러운 벨벳 등이 거래됩니다. 마지막으로 도구들이 필요합니다. 철제 도구, 도자기, 가죽 제품은 물론 전쟁을 위한 무기, 갑옷, 군마 역시 필수적입니다.^^대부분의 농산물은 마을에서 생산되며, 도시의 장인들은 직물이나 철제 도구 같은 공예품을 만드는 데 특화되어 있습니다. 지역마다 자원이 다르기 때문에 노스란드 번영의 핵심은 마을과 도시, 그리고 주요 도시들 간의 무역입니다.^^무역이 활발해지면 상품이 풍족하고 저렴해지며 주민들은 활기차고 건강해질 것입니다. 그러면 주변 지역으로부터 이주자들이 몰려들게 됩니다. 정착지는 더 많이 생산하고 소비하며, 결과적으로 군주에게 더 많은 세금을 바칠 수 있게 됩니다. 반대로 무역이 끊기면 일꾼들은 떠나고 경제 활동은 마비될 것입니다. 따라서 상인들을 보호하는 일은 통치자의 주요 관심사입니다. 영리한 상인이라면 일부러 고립된 마을을 찾아가 가격 불균형을 이용해 큰 이득을 챙길 수도 있습니다.^^마을 사람들은 대개 생산품을 도시 시장으로 가져가 팔기 때문에 마을 시장은 한적한 편이며, 물건을 살 때는 싸게, 팔 때는 비싸게 팔려고 합니다. 진정한 상인들은 도시에 머물며 이익을 얻지만, 일부 부대는 물자를 보충하기 위해 잠시 마을에 들르기도 합니다.^^지역의 번영 요인을 알고 싶다면 해당 도시의 조합장과 대화하십시오. 지나가는 주민들도 정보를 줄 수 있지만, 그들은 대개 자신의 직종 외의 일에 대해서는 잘 모를 수 있습니다.
ip_courtship|구혼
ip_courtship_text|당신은 노스란드의 귀족 가문과 결혼하고 싶어 할지도 모릅니다. 결혼이 권력 상승의 필수 조건은 아니지만, 영주들과의 관계를 개선하고 왕위 계승권을 확립하는 효과적인 기회를 제공합니다.^^성별에 따라 결혼 조건은 다릅니다. 남성 캐릭터는 전통적인 구혼 방식을 따라야 합니다. 귀족 사회에서 명성을 쌓고, 신부의 보호자와 좋은 관계를 맺은 뒤 현지 관습에 따라 구애해야 합니다. 성급하게 지름길을 택할 수도 있지만, 그 경우 다른 영주들과의 관계에 대가가 따를 것입니다.^^남성 캐릭터는 다른 영주들 또한 경쟁자라는 점을 명심해야 합니다. 또한 여성의 취향은 예측하기 어려워 거절당할 수도 있습니다. 노스란드에서도 로맨스는 항상 순탄치만은 않습니다. 물론 비신사적인 방법으로 마음을 얻을 수도 있겠으나, 이는 명성에 심각한 타격을 줄 것입니다.^^구혼을 시작하려면 연회와 토너먼트에 참석하여 귀족 사교계에 발을 들여야 합니다. 또한 방랑하는 시인들은 구혼에 유용한 정보와 사교계 소식을 많이 알고 있습니다.^^여성 캐릭터 또한 결혼할 수 있습니다. 하지만 이 사회는 매우 전통적이며, 모험가의 길은 여성에게 매우 이례적임을 잊지 마십시오. 여성 캐릭터는 자신과 결혼할 만큼 깨어 있는 영주를 찾는 데 시간이 걸릴 수 있습니다.^^긍정적인 면은, 여성 캐릭터는 복잡한 구혼 의례를 거칠 필요가 없으며 결혼을 통해 남성보다 더 많은 이득을 얻을 수도 있다는 점입니다. 여성 모험가에게 결혼은 권력으로 가는 빠른 길이 될 수 있으며, 야심 찬 캐릭터라면 남편을 정치적 도구로 활용할 수도 있습니다.
ip_politics|정치
ip_politics_text|노스란드의 국가들은 문화는 다르지만 봉건제 이전의 기본적인 정치 체계를 공유합니다. 게르만 사회 계층의 정점에는 왕이 있으며, 왕족 중 귀족 의회에 의해 선출됩니다. 모든 영토는 왕의 소유이며, 왕은 이를 귀족이나 공을 세운 전사들에게 나누어 줍니다. 그러나 이 땅은 그들의 사유지가 아니며, 사망 시 다시 군주에게 반환됩니다. 귀족들은 왕의 이름으로 행정과 사법을 책임지고 병사들을 소집해 전쟁터로 이끕니다. 이를 위해 그들은 땅을 자영농들에게 나누어 주었으며, 이들이 농촌 경제의 근간을 이룹니다. 이들은 임대료를 내거나 성벽 축조 등의 의무를 수행합니다.^^이러한 종속 관계는 귀족들 사이에서도 이루어져 충성과 정치적 지지의 계층 구조를 형성합니다. 또한 점차 세력이 커진 수도원들은 자체적인 토지를 거느린 자치적인 종교 시설로 운영됩니다.^^켈트 사회(게일, 웨일스, 픽트)의 독특한 특징은 씨족(클랜)이라 불리는 혈연 집단의 중요성입니다. 공통의 조상을 둔 대가족 집단이 하나의 독립적인 사회적, 법적 실체로 행동합니다.^^노스란드 국가들이 전쟁을 할 때, 정치적 단결력은 병력 수만큼이나 중요합니다. 단결된 왕국에서는 귀족들이 대군으로 뭉쳐 적을 쓸어버릴 것입니다. 반면 분열된 왕국에서는 영주들이 총사령관의 소집에 응하지 않거나, 작전이 불리해지면 이탈해 버릴 것입니다. 분열된 세력의 영주들은 순찰이나 약탈 시 서로 돕지 않으며 동료가 공격받아도 방관할 것입니다.^^적이 코앞인데 영주들이 다투는 것이 자멸적으로 보일지 모르지만, 영주들의 충성심은 국가가 아니라 결국 자기 가문의 이익을 향해 있다는 점을 명심해야 합니다. 영주가 자신의 세력이 무너질 것이라 느끼거나 군주에게 무시당한다고 생각하면, 충성 서약을 철회하고 편을 바꿀 구실을 찾을 것입니다. 플레이어는 이를 활용하여 불만 있는 적 영주를 아군으로 포섭할 기회를 잡을 수도 있습니다.
ip_character_backgrounds|인물 배경
ip_character_backgrounds_text|플레이어는 노스란드에서 다양한 사회적 배경을 선택할 수 있습니다. 이 선택은 시작 기술과 장비뿐만 아니라 모험가로서의 경력 전반에 영향을 미칩니다.^^전쟁과 정치는 전통적으로 남성 귀족의 전유물입니다. 남성 귀족으로 시작하면 이 특권층 사회에 빨리 받아들여지지만, 여성이나 평민은 난관에 부딪히게 될 것입니다. 남성 귀족을 선택하는 것은 난이도를 '쉬움'으로 설정하는 것과 같습니다. 귀족 여성이나 평민 남성으로 시작하는 것은 다소 어렵고, 평민 여성을 선택하는 것이 가장 도전적인 시작이 될 것입니다.^^하지만 여성 캐릭터에게도 장점이 있습니다. 무기를 든 여성 전사는 그 자체로 이목을 끌 수 있어 남성보다 명성을 더 빠르게 쌓을 수 있습니다. 또한 전통적으로 여성은 결혼을 통한 신분 상승이 더 쉬우며, 전략적 결혼 동맹을 통해 남성보다 더 많은 것을 얻을 수도 있습니다.^^마지막으로, 게임은 배경에 따라 신분 상승의 한계를 두지 않습니다. 귀족이든 평민이든, 남성이든 여성이든, 충분한 용기와 행운, 지략이 있다면 누구나 노스란드의 통치자가 될 수 있습니다.
ip_military_campaigns|군사 작전
ip_military_campaigns_text|노스란드 왕국들이 전쟁을 할 때, 군대는 두 가지 주요 공격 전략을 가집니다. 하나는 마을을 약탈하고 황폐화하여 적의 명망과 경제에 타격을 주는 것입니다. 다른 하나는 성이나 도시를 점령하여 영토를 확보하는 것입니다. 후자는 길고 피비린내 나는 공성전이 수반되지만 더 결정적인 결과를 가져옵니다.^^노스란드 왕국들은 군주가 원하는 만큼 무기한 유지되는 상비군을 운용하지 않습니다. 그 대신 귀족과 그들의 동료, 그리고 봉건 징집병들에 의해 보호됩니다. 때때로 귀족들이 독단적으로 적국을 공격하기도 하지만, 가장 결정적인 사건은 대군이 소집될 때 일어납니다. 국왕이 임명한 총사령관(마셜)은 원정 전에 대군을 소집하고 전투로 이끕니다. 하지만 총사령관은 대군을 너무 오래 유지하지 않도록 주의해야 합니다. 그렇지 않으면 가신들이 자기 일을 보러 흩어지면서 부대가 와해되고 적의 반격에 취약해질 수 있기 때문입니다.^^이러한 이유로 노스란드의 전쟁 리듬은 종종 결투와 비슷합니다. 한쪽이 힘을 모아 적의 영토에 일격을 가하려 시도합니다. 총사령관이 가신들을 소집하는 데 시간을 너무 적게 쓰면 실질적인 타격을 줄 수 없고, 너무 많이 쓰면 원정이 시작되기도 전에 끝날 수 있습니다. 큰 왕국은 체격이 좋은 전사처럼 유리하지만, 정치적 단결력 또한 전사의 지구력처럼 중요한 변수가 됩니다. 때때로 양국의 군대가 정면으로 충돌하며, 이때는 병력 수와 사기가 승패를 결정합니다.^^왕국들은 적에 대한 불완전한 정보를 가집니다. 공격하는 영주들은 어느 요새가 취약한지 확인하기 위해 적의 영토를 자주 정찰해야 합니다. 본토를 방어하는 군대는 성과 도시에서 울리는 경보를 통해 적의 움직임을 파악하는 이점이 있습니다. 하지만 적의 규모에 대해서는 정보가 부정확할 수 있습니다. 수비군이 포위를 풀거나 마을을 구하려다 준비되지 않은 공격군을 압도할 수도 있지만, 계산 착오로 역전당할 수도 있습니다. 공격군은 적진 깊숙이 들어갈 때 주의해야 하며, 공격적인 총사령관은 신중한 총사령관보다 더 깊이 진격할 것입니다.^^플레이어는 대군에 합류하거나 적진을 정찰하는 방식으로 소속 세력의 군사 작전에 참여해야 합니다. 만약 총사령관이 너무 신중하거나 공격적이어서 마음에 들지 않는다면, 다른 영주들과 모의하여 총사령관을 교체하거나 스스로가 총사령관이 되기 위한 지지를 쌓을 수 있습니다.^^대부분의 전쟁은 기간이 제한적입니다. 국왕은 명예를 위해 잠시 전쟁을 지속할 의무를 느끼지만, 적을 완전히 압도하는 상황이 아니라면 제3자의 공격에 취약해지지 않기 위해 곧 휴전 방안을 모색할 것입니다. 노스란드의 통치자들은 오늘의 동맹이 내일의 적이 될 수 있음을 잘 알고 있습니다.
ip_siege_warfare|공성전
