qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_The_poem_the_bard_ha|음유시인이 {s33}에게 바친 시는 별다른 효과를 보지 못한 듯합니다.
qstr_Poem_for_a_lady|숙녀를 위한 시
qstr_{s33}_seemed_to_like|{s33}은(는) 음유시인이 바친 노래를 마음에 들어 하는 것 같았습니다.
qstr_The_bard_s_poem_abou|당신을 칭송하는 노래가 온 땅에 퍼지고 있는 모양입니다.
qstr_Fame_spreads|명성이 자자해지다
qstr_People_say_that_{s31|사람들은 {s31}이(가) {s32}의 땅에서 바이킹의 보물 더미를 찾아냈다고 속삭입니다. 영주들은 그 소유권을 두고 다툼을 벌였습니다.
qstr_People_say_that_{s31}|사람들은 {s31}이나 그의 가솔들이 {s32}의 가축을 훔치고 있다고 말합니다. 그 일로 {s32}은(는) 격분했습니다.
qstr_People_say_that_{s31}_|사람들은 {s31}이(가) {s32}의 경호원에게 독이 든 벌꿀주 한 뿔잔을 건넸다고 말합니다. {s32}은(는) 노발대발하고 있습니다.
qstr_People_say_that_{s31}_t|사람들은 {s31}이(가) {s32}의 가신들을 매수해 안채로 잠입하려 했으나, {s32}에게 들키고 말았다고 말합니다.
qstr_People_say_that_a_ru|정체불명의 여행자가 퍼뜨린 헛소문이 {s31}와(과) {s32} 사이를 갈라놓는 데 실패했다고들 합니다.
qstr_{s33}|{s33}
qstr_Rumors|소문
qstr_{playername}_is_beli|{playername}이(가) 최근 {s32}와(과) {s31} 사이에 돌고 있는 비방 섞인 소문의 배후라고 믿어지고 있습니다.
qstr_A_recent_rumor_alleg|최근 소문에 따르면 {s32}은(는) 전투 중에 경호원들 뒤에 숨어 몸을 사린다고 합니다.
qstr_A_recent_rumor_allege|최근 소문에 따르면 {s32}이(가) 자신의 연회장에서 음란한 의식을 치르고 있다고 합니다.
qstr_A_recent_rumor_alleges|최근 소문에 따르면 {s32}이(가) 새로 들인 암말과 유난히 각별한 사이라고 합니다. 의미심장하군요.
qstr_A_recent_rumor_alleges_|최근 소문에 따르면 {s32}은(는) 검을 휘두르기보다 술잔을 드는 것을 좋아하는 술꾼이라고 합니다.
qstr_People_say_that_a_rum|정체불명의 여행자가 {s32}에 대해 퍼뜨린 소문이 그의 명성에 흠집을 내는 데 실패했다고들 합니다.
qstr_{playername}_is_belie|{playername}이(가) 최근 {s32}의 부도덕한 행실에 관한 소문을 퍼뜨린 배후로 지목되고 있습니다.
qstr_A_recent_rumor_sprea|정체불명의 여행자가 퍼뜨린 소문에 따르면, {s32}이(가) {s31}을(를) 몰아내기 위해 음모를 꾸미고 있다고 합니다.
qstr_People_say_that_a_rumo|정체불명의 여행자가 {s32}을(를) 불충한 가신으로 몰아세우려 한 소문은 {s32}와(과) {s31} 사이를 이간질하는 데 실패했습니다.
qstr_{playername}_is_believ|{playername}이(가) 최근 {s32}의 불충에 관한 소문을 퍼뜨린 배후로 지목되고 있습니다.
qstr_It_seems_that_{s31}_|{s31}은(는) {s32}의 부정에 관한 최근의 이야기가 꽤 신빙성 있다고 판단한 듯합니다.
qstr_It_appears_{s31}_has|{s31}은(는) {s32}의 부정에 관한 최근의 이야기를 그저 적들의 가십거리일 뿐이라며 일축한 듯합니다.
qstr_It_seems_that_{s31}_h|{s31}은(는) {s32}의 불충에 관한 최근의 이야기가 꽤 설득력이 있다고 판단한 듯합니다.
qstr_It_appears_that_{s31|{s31}은(는) {s32}의 불충에 관한 최근의 이야기를 그저 적들의 가십거리일 뿐이라며 일축한 듯합니다.
