ui_music_volume|음악 볼륨:
ui_sound_volume|효과음 볼륨:
ui_mouse_sensitivity|마우스 감도:
ui_invert_mouse_y_axis|마우스 Y축 반전
ui_enabled|활성화
ui_disabled|비활성화
ui_damage_to_player|플레이어가 받는 피해:
ui_reduced_to_1_over_4_easiest|1/4로 감소 (매우 쉬움)
ui_reduced_to_1_over_2_easy|1/2로 감소 (쉬움)
ui_damage_to_friends|아군이 받는 피해:
ui_reduced_to_1_over_2_easiest|1/2로 감소 (매우 쉬움)
ui_reduced_to_3_over_4_easy|3/4으로 감소 (쉬움)
ui_normal|보통
ui_combat_ai|전투 인공지능:
ui_combat_speed|전투 속도:
ui_good|우수
ui_average_caps|보통
ui_poor|낮음
ui_faster|매우 빠름
ui_slower|매우 느림
ui_control_block_direction|방어 방향 제어:
ui_automatic_recommended|자동 (추천)
ui_manual_easy|수동 (쉬움)
ui_manual_hard|수동 (어려움)
ui_by_mouse_movement|마우스 움직임
ui_control_attack_direction|공격 방향 제어:
ui_lance_control|랜스 제어 방식:
ui_by_relative_enemy_position|적과의 상대적 위치 기준
ui_by_inverse_mouse_movement|마우스 움직임의 반대방향
ui_battle_size|전투 규모:
ui_show_attack_direction|공격 방향 보이기
ui_show_targeting_reticule|조준점 보이기
ui_show_names_of_friendly_troops|아군 부대 문장 보이기
ui_report_damage|피해량 보고
ui_report_shot_difficulty|사격 난이도 보고
ui_difficulty_rating_percentage|종합 난이도 = %d%%
ui_controls|조작 설정
ui_video_options|화면 설정
ui_done|완료
ui_factions|세력 정보
ui_item_itemname|아이템 - %s
ui_prop_propname|지형물 - %s
ui_unknown_unknownname|알 수 없음 - %s
ui_entry_point_entrypointname|진입 지점 %d
ui_passage_menu_item_passagename|이동 통로 (메뉴 항목 %d)
ui_plant_plantname|식물 - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|인물 %s의 내보내기 파일이 이미 존재합니다. 덮어쓰시겠습니까?
ui_yes|예
ui_no|아니오
ui_set_save_file_name|저장 파일 이름 입력:
ui_enter_new_name|새 이름 입력:
ui_export_character|인물 내보내기
ui_import_character|인물 가져오기
ui_character_playername_exported_successfully|인물 %s 정보를 성공적으로 내보냈습니다.
ui_character_playername_imported_successfully|인물 %s 정보를 성공적으로 불러왔습니다.
ui_unable_to_open_import_file|불러올 수 없습니다.
ui_are_you_sure_you_want_to_import_the_character|정말로 이 인물 정보를 불러오시겠습니까?
ui_unable_to_find_character_import_file|불러올 인물 정보를 찾을 수 없습니다.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|체험판 모드에서는 인물 불러오기 기능을 사용할 수 없습니다. 정식 버전을 구매해 주세요.
ui_change_skin|외형 설정
ui_change_hair|머리 모양
ui_change_hair_color|머리카락 색상
ui_change_beard|수염 모양
ui_tutorial|튜토리얼
ui_tutorial_face_generator|버튼과 슬라이더를 사용하여 캐릭터의 얼굴을 조정하십시오. 머리를 회전시키려면 마우스로 클릭한 채 드래그하십시오.
ui_restore|불러오기
ui_cancel|취소
ui_delete|삭제
ui_confirm_delete_game|정말로 이 저장 파일을 삭제하시겠습니까?
ui_error_removing_file|파일 삭제 오류...
ui_day_datedisplay|%d일 (%d:%d%d)
ui_reset_changes|변경 사항 초기화
ui_weapon_proficiencies|무기 숙련도
ui_skills|기술
ui_attributes|기본 능력치
ui_enter_name_here|*여기에 이름을 입력하십시오.*
ui_edit_face|얼굴을 편집하려면 클릭
ui_statistics|통계
ui_next|다음
ui_prev|이전
ui_learn|습득
ui_question_saving_policy|저장 방식을 선택해 주십시오.
ui_saving_policy_realistic|현실 모드: 저장 없이 종료 불가
ui_saving_policy_nonrealistic|일반 모드: 저장하지 않고 종료 허용
ui_tutorial_character_generation|이름을 입력하고 능력치, 기술, 무기 숙련도 포인트를 분배하십시오. 각 항목을 클릭하면 캐릭터에게 어떤 영향을 주는지 확인할 수 있습니다.
ui_str|힘
ui_agi|민첩
ui_int|지능
ui_cha|매력
ui_at_learning_limit|(기술 점수 한도에 도달했습니다)
ui_not_enough_skill_points_to_learn|(기술 점수가 부족합니다)
ui_strength|힘
